CountryName,CountryCode,Year,CO2_emissions,InternetUsers,GDP_per_capita,LiteracyRate,Physicians,HealthExpenditure,Unemployment,InfantMortality,LifeExpectancy,Population,Region,IncomeGroup,Region_Encoded,IncomeGroup_Encoded
Rwanda,RWA,2006,0.0573555000879806,13.66,342.399098171483,,,9.40251034,0.860000014305115,62.6,57.219,9206580.0,Sub-Saharan Africa,Low income,6,1
Samoa,WSM,2006,0.911211856825737,4.469173873,2807.95427393733,,,5.01838229,4.95800018310547,16.4,71.451,181094.0,East Asia & Pacific,Upper middle income,0,4
San Marino,SMR,2006,2.91508151810172,50.20865936,30637.443815953535,,,4.51537383,6.35300016403198,3.7,,29614.0,Europe & Central Asia,High income,1,0
Sao Tome and Principe,STP,2006,0.529354539064069,14.18201978,836.795284158117,,,8.00689716,16.225250840187073,40.8,64.956,159328.0,Sub-Saharan Africa,Lower middle income,6,2
Saudi Arabia,SAU,2006,14.808246413632371,19.45955435,15334.6699396085,,,3.61922251,6.25,13.4,73.176,24578301.0,Middle East & North Africa,High income,3,0
Senegal,SEN,2006,0.40932136446858,5.611738652,1025.18743569412,41.8911514282227,,4.63887798,10.0299997329712,51.3,61.263,11556763.0,Sub-Saharan Africa,Low income,6,1
Serbia,SRB,2006,7.28692885406585,27.2,4129.75874102829,,1.99,9.01396834,16.225250840187073,7.3,73.3853658536585,7411569.0,Europe & Central Asia,Upper middle income,1,4
Seychelles,SYC,2006,8.66903073286052,34.95197117,12014.3998729502,,0.834,3.6894262,6.35300016403198,12.1,72.2170731707317,84600.0,Sub-Saharan Africa,High income,6,0
Sierra Leone,SLE,2006,0.1253955585283,0.227669467,322.313468011784,,,10.39399488,3.43899989128113,107.9,44.566,5848692.0,Sub-Saharan Africa,Low income,6,1
Singapore,SGP,2006,6.99763209822407,59.0,30637.443815953535,,1.502,2.95129263,4.48000001907349,2.3,80.1414634146341,4401365.0,East Asia & Pacific,High income,0,0
Sint Maarten (Dutch part),SXM,2006,2.91508151810172,13.66,3738.68928376282,,,5.46509211,6.35300016403198,22.1,,33441.0,Latin America & Caribbean,High income,2,0
Slovak Republic,SVK,2006,7.27796296110182,56.08,13139.0321768688,,,6.86157448,13.3730001449585,6.6,74.2048780487805,5373054.0,Europe & Central Asia,High income,1,0
Slovenia,SVN,2006,8.09460811573058,54.01,19726.1264959149,,2.424,7.80212895,5.94999980926514,3.3,78.0865853658537,2006868.0,Europe & Central Asia,High income,1,0
Small states,SST,2006,6.4346976928783,15.2720078096666,8506.67771524503,82.7404479980469,,4.43730906859456,10.5171892094765,45.8672588091142,64.5355775875897,32586895.0,,,7,3
Solomon Islands,SLB,2006,0.34276580629884,1.646347989,948.6592511289,,,9.27718717,2.07500004768372,23.7,66.635,481422.0,East Asia & Pacific,Lower middle income,0,2
Somalia,SOM,2006,0.0554241864650952,1.100216368,3738.68928376282,,0.035,5.46509211,14.3990001678467,104.3,52.666,10718317.0,Sub-Saharan Africa,Low income,6,1
South Africa,ZAF,2006,9.07319976901658,7.607139675,5502.69998895381,,,6.58706226,16.225250840187073,50.5,52.614,49364582.0,Sub-Saharan Africa,Upper middle income,6,4
South Asia,SAS,2006,0.982909014925463,2.97157368663315,778.239901788741,60.8166618347168,,3.54220600226906,2.66150964369221,56.3,65.2371142333509,1536943534.0,,,7,3
South Asia (IDA & IBRD),TSA,2006,0.982909014925463,2.97157368663315,778.239901788741,60.8166618347168,,3.54220600226906,2.66150964369221,56.3652410088625,65.2371142333509,1536943534.0,,,7,3
South Sudan,SSD,2006,2.91508151810172,13.66,3738.68928376282,,,5.46509211,12.7419996261597,82.6,51.627,8468152.0,Sub-Saharan Africa,Low income,6,1
Spain,ESP,2006,7.88419571010583,50.37,28482.6094833461,,4.56,7.75518882,8.45199966430664,3.7,80.8219512195122,44397319.0,Europe & Central Asia,High income,1,0
Sri Lanka,LKA,2006,0.608862738267744,2.537566129,1437.70197415321,90.8088302612305,0.523,3.97986285,6.5,11.7,74.059,19670151.0,South Asia,Lower middle income,5,2
St. Kitts and Nevis,KNA,2006,4.0984555984556,38.5,13355.5656709341,,,5.04583214,6.35300016403198,13.3,,49210.0,Latin America & Caribbean,High income,2,0
St. Lucia,LCA,2006,2.21695575157037,24.5,6855.10376313063,,,5.87258872,16.0,16.2,73.393,165407.0,Latin America & Caribbean,Upper middle income,2,4
St. Martin (French part),MAF,2006,2.91508151810172,13.66,3738.68928376282,,,5.46509211,6.35300016403198,22.1,78.0707317073171,28414.0,Latin America & Caribbean,High income,2,0
St. Vincent and the Grenadines,VCT,2006,2.0202558145941,12.0,5609.64893934308,,,3.11574569,16.225250840187073,19.8,71.446,108907.0,Latin America & Caribbean,Upper middle income,2,4
Sub-Saharan Africa,SSF,2006,0.884318999126312,2.70305903868827,1151.22541302016,58.5136108398438,,5.25343204964767,6.73090209193101,75.5,53.859527935286,787035792.0,,,7,3
Sub-Saharan Africa (IDA & IBRD countries),TSS,2006,0.884318999126312,2.70305903868827,1151.22541302016,58.5136108398438,,5.25343204964767,6.73090209193101,75.5200510853306,53.859527935286,787035792.0,,,7,3
Sub-Saharan Africa (excluding high income),SSA,2006,0.883480083919351,2.69909940843213,1150.0538564167,58.5082015991211,,5.25521793632431,6.73090209193101,75.5234462251312,53.857554435096,786951192.0,,,7,3
Sudan,SDN,2006,0.291193188463428,13.66,893.879364531904,,0.338,4.88544337,15.2609996795654,56.6,60.854,31607064.0,Sub-Saharan Africa,Lower middle income,6,2
Suriname,SUR,2006,3.46116948604719,9.499626942,5208.12333919831,,,6.64135505,9.23299980163574,24.8,69.089,504307.0,Latin America & Caribbean,Upper middle income,2,4
Sweden,SWE,2006,5.45900321623082,68.479743898,30637.443815953535,,3.583,8.16106452,7.06599998474121,2.8,80.7487804878049,9080505.0,Europe & Central Asia,High income,1,0
Switzerland,CHE,2006,5.59217531848891,68.479743898,30637.443815953535,,3.97,10.21397824,4.0,4.2,81.490243902439,7483934.0,Europe & Central Asia,High income,1,0
Syrian Arab Republic,SYR,2006,2.83279244801619,7.832551569,1762.24610660537,,0.53,3.77755937,8.17000007629395,15.4,74.412,18914977.0,Middle East & North Africa,Low income,3,1
Tajikistan,TJK,2006,0.379766210031573,3.772406207,404.289405943386,,1.909,5.03254782,11.8629999160767,45.5,68.052,7000557.0,Europe & Central Asia,Low income,1,1
Tanzania,TZA,2006,0.148358698527189,1.3,472.518798636836,,,7.64004535,3.29900002479553,56.8,57.218,40634948.0,Sub-Saharan Africa,Low income,6,1
Thailand,THA,2006,3.82910412656361,17.16071472,3368.95257614381,,0.286,3.0997028,1.22000002861023,13.9,72.534,65824164.0,East Asia & Pacific,Upper middle income,0,4
Timor-Leste,TLS,2006,0.171351708577265,0.5,2534.66218967577,,,1.02497807,3.28399991989136,62.7,65.068,1048621.0,East Asia & Pacific,Lower middle income,0,2
Togo,TGO,2006,0.209173434065482,2.0,402.463058051786,56.888370513916,,4.10506145,1.84899997711182,65.4,55.048,5837792.0,Sub-Saharan Africa,Low income,6,1
Tonga,TON,2006,1.26213258071178,5.853944095,2892.5226629236,99.0184631347656,,5.50721889,1.0900000333786,14.3,71.639,101689.0,East Asia & Pacific,Upper middle income,0,4
Trinidad and Tobago,TTO,2006,14.808246413632371,30.00374858,14096.1866795908,,1.222,4.21831932,3.28399991989136,28.8,69.06,1303144.0,Latin America & Caribbean,High income,2,0
Tunisia,TUN,2006,2.25498071033968,12.98640865,3371.7123099588,,,5.38218158,12.5100002288818,18.5,74.352,10196136.0,Middle East & North Africa,Lower middle income,3,2
Turkey,TUR,2006,3.80456408463193,18.24,8034.61120578916,88.1193923950195,1.521,5.18844302,8.7180004119873,21.6,72.866,68763405.0,Europe & Central Asia,Upper middle income,1,4
Turkmenistan,TKM,2006,10.2932958843934,1.319573118,2136.476098733,,2.49,8.41321373,6.35300016403198,55.9,65.354,4810105.0,Europe & Central Asia,Upper middle income,1,4
Turks and Caicos Islands,TCA,2006,5.17375732580855,13.66,3738.68928376282,,,5.46509211,6.35300016403198,22.1,,27642.0,Latin America & Caribbean,High income,2,0
